id,created_datetime,index,document_type,year,full_name,office,position,position_type,position_category,corruptionAffected,relation_type,org_name,org_type,org_id,org_unit_name,org_unit_type,full_name_office_position,unique_guids
nacp_347c658b-36ab-4774-b4a8-ca3eb31892ef,2020-05-27 14:54:51,495.0,Щорічна,2019,Волошин Олег Анатолійович,Верховна Рада України,"Заступник голови Комітету Верховної Ради України з питань інтеграції України з Європейським Союзом, народний депутат України",,,Ні,16.0,Всеукраїнська молодіжна організація 'Молодь проти корупції',Громадське об’єднання,26059462,org,org,"волошин олег анатолійович верховна рада україни заступник голови комітету верховної ради україни з питань інтеграції україни з європейським союзом, народний депутат україни",1
nacp_260f978a-bc16-4ed2-86dc-441a81fe574d,2020-05-27 16:00:21,412.0,Щорічна,2019,Дануца Олександр Анатолійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Кіровоградська обласна громадська організація УКРАЇНСЬКА СТУДЕНТСЬКА СПІЛКА,Громадське об’єднання,24718067,org,org,дануца олександр анатолійович верховна рада україни народний депутат україни,1
nacp_260f978a-bc16-4ed2-86dc-441a81fe574d,2020-05-27 16:00:21,412.0,Щорічна,2019,Дануца Олександр Анатолійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,КІРОВОГРАДСЬКИЙ ОБЛАСНИЙ БЛАГОДІЙНИЙ ФОНД ПІДТРИМКИ НЕЗАЛЕЖНОЇ ПРЕСИ,Благодійна організація,33428643,Президент,Керівні органи,дануца олександр анатолійович верховна рада україни народний депутат україни,1
nacp_3a9e9b55-3621-4436-9fd6-319c861a4624,2020-05-27 16:54:50,1.0,Щорічна,2019,Вельможний Сергій Анатолійович,народний депутат України,народний депутат України,Посада державної служби,А,Так,16.0,Національна асоціація адвокатів України,Саморегулівне чи самоврядне професійне об’єднання,38488439,org,org,вельможний сергій анатолійович народний депутат україни народний депутат україни,1
nacp_10104126-9a2c-47cb-bcc6-7a0f106d22ff,2020-05-27 17:03:13,226.0,Щорічна,2019,Іонова Марія Миколаївна,Верховна Рада України,Народний депутат України,,,Ні,16.0,"політична партія ""Блок Петра Порошенка ""Солідарність""",Громадське об’єднання,21715714,org,org,іонова марія миколаївна верховна рада україни народний депутат україни,1
nacp_10104126-9a2c-47cb-bcc6-7a0f106d22ff,2020-05-27 17:03:13,226.0,Щорічна,2019,Іонова Марія Миколаївна,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Асоціація випускників ""Аспен-Украіна""",Громадське об’єднання,37313251,org,org,іонова марія миколаївна верховна рада україни народний депутат україни,1
nacp_388b0fb2-d97e-4032-86e3-d6b8cbf91d9d,2020-05-27 17:10:32,271.0,Щорічна,2019,Леонов Олексій Олександрович,Верховна Рада України,Народний депутат України ,,,Ні,16.0,Благодійний фонд Я українець - мені не все одно,Благодійна організація,43297484,org,org,леонов олексій олександрович верховна рада україни народний депутат україни ,1
nacp_388b0fb2-d97e-4032-86e3-d6b8cbf91d9d,2020-05-27 17:10:32,271.0,Щорічна,2019,Леонов Олексій Олександрович,Верховна Рада України,Народний депутат України ,,,Ні,16.0,Громадська організація Олексія Леонова Я Одесит - мені не все одно,Громадське об’єднання,42654646,керівник ,Керівні органи,леонов олексій олександрович верховна рада україни народний депутат україни ,1
nacp_388b0fb2-d97e-4032-86e3-d6b8cbf91d9d,2020-05-27 17:10:32,271.0,Щорічна,2019,Леонов Олексій Олександрович,Верховна Рада України,Народний депутат України ,,,Ні,16.0,Громадська організація Я українець - мені не все одно,Громадське об’єднання,43194256,керівник,Керівні органи,леонов олексій олександрович верховна рада україни народний депутат україни ,1
nacp_fd3f3973-cfe0-45c6-a5fb-a764fe65e501,2020-05-27 17:33:30,202.0,Щорічна,2019,Кубів Степан Іванович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Всеукраїнська правозахисна організація ""Меморіал"" імені Василя Стуса",Громадське об’єднання,20063988,Керівник,Керівні органи,кубів степан іванович верховна рада україни народний депутат україни,1
nacp_fd3f3973-cfe0-45c6-a5fb-a764fe65e501,2020-05-27 17:33:30,202.0,Щорічна,2019,Кубів Степан Іванович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"ГО ""Мистецький фонд імені Короля Данила""",Громадське об’єднання,34903833,org,org,кубів степан іванович верховна рада україни народний депутат україни,1
nacp_fd3f3973-cfe0-45c6-a5fb-a764fe65e501,2020-05-27 17:33:30,202.0,Щорічна,2019,Кубів Степан Іванович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"ГО ""Фонд Стрийського парку""",Громадське об’єднання,33805487,org,org,кубів степан іванович верховна рада україни народний депутат україни,1
nacp_fd3f3973-cfe0-45c6-a5fb-a764fe65e501,2020-05-27 17:33:30,202.0,Щорічна,2019,Кубів Степан Іванович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Львівський обласний осередок ГО ""Фронт Змін""",Громадське об’єднання,37278170,org,org,кубів степан іванович верховна рада україни народний депутат україни,1
nacp_8e57b3df-77aa-4931-af81-4d7a63cc3116,2020-05-27 18:44:33,106.0,Щорічна,2019,Войціцька Вікторія Михайлівна,Верховна Рада України,народний депутат України,,,Ні,16.0,ГРОМАДСЬКА СПІЛКА НАЦІОНАЛЬНА ОСВІТНЯ АСОЦІАЦІЯ,Громадське об’єднання,43270111,Голова Правління,Керівні органи,войціцька вікторія михайлівна верховна рада україни народний депутат україни,1
nacp_e3a5d266-f17c-4653-908e-e429f22018d3,2020-05-27 19:16:28,201.0,Щорічна,2019,Булах Лада Валентинівна,Верховна Рада України,Народний депутат України,,,Ні,16.0,"Благодійна організація ""Сила життя""",Благодійна організація,37855945,org,org,булах лада валентинівна верховна рада україни народний депутат україни,1
nacp_72156d50-990a-458c-ba03-8ff369b21be8,2020-05-27 20:01:32,62.0,Щорічна,2019,Фріз Ірина Василівна,Верховна Рада України,Народний депутат України,,,Ні,16.0,Інститут геополітики та проблем безпеки,Громадське об’єднання,40496235,org,org,фріз ірина василівна верховна рада україни народний депутат україни,1
nacp_72156d50-990a-458c-ba03-8ff369b21be8,2020-05-27 20:01:32,62.0,Щорічна,2019,Фріз Ірина Василівна,Верховна Рада України,Народний депутат України,,,Ні,16.0,"ВБО "" Благодійний фонд Петра Пороршенка""",Благодійна організація,21692539,Правління,Керівні органи,фріз ірина василівна верховна рада україни народний депутат україни,1
nacp_72156d50-990a-458c-ba03-8ff369b21be8,2020-05-27 20:01:32,62.0,Щорічна,2019,Фріз Ірина Василівна,Верховна Рада України,Народний депутат України,,,Ні,16.0,"ВБО ""Благодійний фонд Петра Порошенко""",Благодійна організація,21692639,org,org,фріз ірина василівна верховна рада україни народний депутат україни,1
nacp_eda6dbd6-1229-4d0b-83a7-6e8d1cba61ae,2020-05-27 20:54:54,265.0,Щорічна,2019,Бородін Владислав Валерійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВСЕУКРАЇНСЬКА ОРГАНІЗАЦІЯ ""ГІДНІСТЬ І ВОЛЯ""",Громадське об’єднання,39214522,org,org,бородін владислав валерійович верховна рада україни народний депутат україни,1
nacp_0d6295f6-a2c3-45ac-b8a4-a189bb7f43cc,2020-05-27 21:28:59,205.0,Щорічна,2019,Марчук Ігор Петрович,Верховна Рада України,народний депутат України,,,Ні,16.0,БЛАГОДІЙНИЙ ФОНД МІСТО СОНЦЯ,Благодійна організація,43379341,Загальні збори,Керівні органи,марчук ігор петрович верховна рада україни народний депутат україни,1
nacp_8b718128-ab90-444b-9e20-09c592c5f5d8,2020-05-27 22:02:07,204.0,Щорічна,2019,Довгий Олесь Станіславович,Верховна рада України,Народний депутат України,,,Ні,16.0,БЛАГОДІЙНИЙ ФОНД МОЖЕМО РАЗОМ,Благодійна організація,37652715,Наглядова рада,Наглядові органи,довгий олесь станіславович верховна рада україни народний депутат україни,1
nacp_f2e73191-76de-47af-bf4b-167c22e5a66f,2020-05-27 23:33:09,172.0,Щорічна,2019,Соболєв Сергій Владиславович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"""Інститут стратегічних досліджень та прогнозів ""Янус""",Громадське об’єднання,21519775,org,org,соболєв сергій владиславович верховна рада україни народний депутат україни,1
nacp_f2e73191-76de-47af-bf4b-167c22e5a66f,2020-05-27 23:33:09,172.0,Щорічна,2019,Соболєв Сергій Владиславович,Верховна Рада України,Народний депутат України,,,Ні,16.0,"""Інститут відкритого суспільства ""Інститут Борисфена""",Громадське об’єднання,24088407,org,org,соболєв сергій владиславович верховна рада україни народний депутат україни,1
nacp_e67e9c81-055f-4551-bb6f-e21e09378531,2020-05-28 10:50:36,206.0,Щорічна,2019,Гривко Сергій Дмитрович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Чернігівська міська громадська організація Добровольці,Громадське об’єднання,38341358,org,org,гривко сергій дмитрович верховна рада україни народний депутат україни,1
nacp_f83664c3-b0e1-4183-85d2-7f1ba5cbb149,2020-05-28 11:13:17,698.0,Щорічна,2019,Герега Олександр Володимирович,Верховна Рада України,Народний депутат Верховної Ради України,,,Ні,16.0,ХМЕЛЬНИЦЬКА ОБЛАСНА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЗА КОНКРЕТНІ СПРАВИ,Громадське об’єднання,38307034,org,org,герега олександр володимирович верховна рада україни народний депутат верховної ради україни,1
nacp_f83664c3-b0e1-4183-85d2-7f1ba5cbb149,2020-05-28 11:13:17,698.0,Щорічна,2019,Герега Олександр Володимирович,Верховна Рада України,Народний депутат Верховної Ради України,,,Ні,16.0,ГРОМАДСЬКА ОРГАНІЗАЦІЯ КИЯНИ ЗА КОНКРЕТНІ СПРАВИ,Громадське об’єднання,38637939,org,org,герега олександр володимирович верховна рада україни народний депутат верховної ради україни,1
