company_id,company_name,company_ua,counts
36956321,ТОВ ЩЕДРИЙ ДАЧНИК,1.0,1
36953011,РЕСУРСЕКОЕНЕРГО,1.0,1
36931417,АВТОМОБІЛЬНА КОМПАНІЯ СІВЕР-АВТО,1.0,1
36927161,ТОВ Спеценергомонтаж-86,1.0,1
36914098,ТОВ Підгорецьке молочко,1.0,1
36908634,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ЗАКАРПАТСЬКА ПРОДОВОЛЬЧА КОМПАНІЯ,1.0,1
368881900,Ноубл Девелопмент,0.0,1
36885544,ГІДРОЕНЕРГОІНВЕСТ,1.0,1
36518289,Телерадіокомпанія ТРТ-ТБ,1.0,1
36508862,Фермерське господарство Креатида-К,1.0,1
36505327,ІНВЕСТИЦІЙНІ ПРОГРАМИ РОЗВИТКУ,1.0,1
35853616,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ФІНАНСОВА КОМПАНІЯ ІНВЕСТИЦІЇ-КВАРТАЛ-НЕРУХОМІСТЬ,1.0,1
35981755,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРАЇНСЬКА ІНВЕСТИЦІЙНО-БУДІВЕЛЬНА КОМПАНІЯ «УКРСПОРТБУДІНВЕСТ»,1.0,1
35977211,ТОВ ІМК-ІНЖИНІРІНГ,1.0,1
35962088,ТОВ КОПІРАЙТ,1.0,1
35947866,ДОЧІРНЄ ПІДПРИЄМСТВО ІНСТИТУТ КИЇВПРОЕКТ-1 ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КИЇВПРОЕКТ,1.0,1
35947845,ДОЧІРНЄ ПІДПРИЄМСТВО ІНСТИТУТ КИЇВГЕО ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КИЇВПРОЕКТ,1.0,1
35947727,ДОЧІРНЄ ПІДПРИЄМСТВО ІНСТИТУТ КИЇВЦИВІЛЬПРОЕКТ ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КИЇВПРОЕКТ,1.0,1
35939844,СВІТ НАСІННЯ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ТЕРНОПІЛЬСОРТНАСІННЄОВОЧ,1.0,1
35930742,ФАКТОР-С,1.0,1
35922113,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'ГЛОРІ ПРОПЕРТІ',1.0,1
35898400,ТОРГОВИЙ ДІМ ЖИВА,1.0,1
35825311,Євроінвестгруп ЛТД,1.0,1
359960,RAMAZZINI HOLDINGS LTD,0.0,1
35811005,ДЕНОН,1.0,1
35810511,Міжнародний Інвестиційний Банк,1.0,1
35791445,ТОВ «РТЦ «Рось»,1.0,1
35782357,ДЕЛЬТА ВЕСТ ОЙЛ ГРУП,1.0,1
35780339,Товариство з обмеженою відповідальністю Мідленд Девелопмент Україна,1.0,1
35775224,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФОРПОСТІНВЕСТ»,1.0,1
35766005,ТзОВ ЯРЕМЧАНСЬКА РЕГІОНАЛЬНА ТОРГІВЕЛЬНА КОМПАНІЯ,1.0,1
35725435,ТОВ «ВП ДЕВЕЛОПМЕНТ»,1.0,1
35721308,"ТзОВ ,,Львівська бізнес-школа Українського Католицького Університету""",1.0,1
35715275,Товариство з обмеженою відповідальністю МЕЙН-СТРІМ,1.0,1
35985917,ОРЕЛЬКА,1.0,1
36001847,АКВАНОВА ІНВЕСТМЕНТ,1.0,1
36473374,МЦ-ФАЙНАНС,1.0,1
36238645,Товариство з обмеженою відповідальністю «ЕНЕРГОПРОМТЕКС»,1.0,1
36451476,ТОВ КАЛИНІВСЬКИЙ ВИРОБНИК,1.0,1
36447695,Телерадіокомпанія НБМ - Запоріжжя,1.0,1
36413692,КЛУБ СИРУ,1.0,1
36387500,ТРЕВЕЛ ПРОФЕШНЛ ГРУП,1.0,1
36386250,ПРАВОВА ГРУПА ЮРІМЕКС,1.0,1
36354480,ТОВ ЛОГІСТИЧНА КОМПАНІЯ ЗАХІД РЕСУРС,1.0,1
36350994,Благодійна організація БЛАГОДІЙНИЙ ФОНД СВЯТОСЛАВА ВАКАРЧУКА ЛЮДИ МАЙБУТНЬОГО,1.0,1
